id	name		lvl	health		mana		strength	range		defense
0	0		0	0		0		0		0		0
1	punch		0	0		0		1		1		0
2	slash		1	0		0		3		1		0
3	double_slash	3	0		0		6		1		0
4	strong_guard	5	-50		0		0		0		5
5	guard_breaker	8	0		0		8		1		0
6	bone_crusher	12	0		0		15		1		0
7	fire		2	0		-5		3		2		0
8	storm		4	0		-15		8		3		0
9	tornado		6	-35		-25		20		4		0
10	teleport	10	-25		-50		0		0		0
11	heal		3	100		-100		0		0		0
12	steal		2	-15		-5		0		0		0
13	shuriken	3	0		0		3		3		0
14	dodge		5	0		-50		0		1		7
15	instant_kill	14	-1500		-1500		999		25		-999
16	bombe		5	-75		0		15		10		-15
17	double_punch	3	0		0		6		1		0
18	focus		1	-25		50		0		0		0
19	spiritual_block	8	-35		-35		0		0		4
20	multiple_shots	4	0		0		7		7		0
